TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
   103       1   1.28789701e-02   4.12447928e+00  
   103       2   1.29282960e-05   5.78790243e-01  
   103       3   5.70148752e-07   3.31098316e-03  
   104       1   1.31658836e-02   4.95982394e+00  
   104       2   1.04696052e-05   3.44354012e-01  
   104       3   1.69045320e-06   7.45537180e-03  
   104       4   4.24318286e-07   7.06008121e-04  
   105       1   1.29765524e-02   4.62319275e+00  
   105       2   2.39290283e-05   6.50894496e-01  
   105       3   1.54234577e-06   5.07283178e-03  
   105       4   1.33482797e-07   8.47528013e-04  
   106       1   1.27135769e-02   5.60512861e+00  
   106       2   2.10275572e-05   3.54389379e-01  
   106       3   1.13411130e-06   1.99451406e-02  
   106       4   8.41952412e-08   6.34264799e-04  
